id,title,media_type,date,url,text,keyword,like,comment,transpond,read,author_name,timestamp
1809318086383747,王者荣耀这百分之50胜率匹配机制卡得太死了吧，简直逆天了！\\n\\n本人超高活跃度玩家，昨天打了20来把，一半的胜率，白天赢得非常多，把把金牌mvp，晚上连续六把尽力局，今天又打了20把，数了下刚好10胜10负，输得局那队友简直了。\\n\\n我真的怀疑这些人的精神状态，以及他们是怎么想的，玩游戏的目的是什么，菜得真的不像是真实得人，完全找不到赢得方向因为这些逼实在是太菜了，30星得人打的跟钻石似的。\\n\\n\\n这QQ区除了那帮年轻学生所谓的成年人基本都是坑比，比微信坑多了，微信的人死几次就知道猥琐了，QQ的那是又菜脾气还大 连续六把尽力局逆天了，我用钟馗勾到对面两个脆皮团战也赢不了，用东皇秒杀对面c位再打残一堆也赢不了！！！\\n\\nQQ区那帮学生上学去了，留下的本地人这不是比微信区还菜吗？\\n#王者荣耀[超话]##我要上微头条#,新闻,2024-09-05 09:36,https://m.toutiao.com/w/1809318086383747,王者荣耀这百分之50胜率匹配机制卡得太死了吧，简直逆天了！\\n\\n本人超高活跃度玩家，昨天打了20来把，一半的胜率，白天赢得非常多，把把金牌mvp，晚上连续六把尽力局，今天又打了20把，数了下刚好10胜10负，输得局那队友简直了。\\n\\n我真的怀疑这些人的精神状态，以及他们是怎么想的，玩游戏的目的是什么，菜得真的不像是真实得人，完全找不到赢得方向因为这些逼实在是太菜了，30星得人打的跟钻石似的。\\n\\n\\n这QQ区除了那帮年轻学生所谓的成年人基本都是坑比，比微信坑多了，微信的人死几次就知道猥琐了，QQ的那是又菜脾气还大 连续六把尽力局逆天了，我用钟馗勾到对面两个脆皮团战也赢不了，用东皇秒杀对面c位再打残一堆也赢不了！！！\\n\\nQQ区那帮学生上学去了，留下的本地人这不是比微信区还菜吗？\\n#王者荣耀[超话]##我要上微头条#,王者,1,1,0,3602,指尖王者之风,1725500160,1725516258
1809327089711251,王者荣耀单排很难打，应该怎么办？第一就是要么组队，要么就提高技术，前者靠人后者靠己，先不说机制的问题啊，星耀到王者连胜的大有人在，只能说人家确实厉害。第二就是英雄池尽量宽一点，尽量每个位置都可以补，在路人局，总会遇到要补位的情况，这个时候拿得出手比你完全不会上升几率要大一些。第三就是精通一个位置，最好能carry的那种，路人局只有自己靠得住，尽量自己carry。第四就是心态一定要好，不要用太依赖队友的辅助英雄，顺风一定要稳，逆风呢，好好发育就行了，别太指望队友，也不要总想着去吃队友的线。,新闻,2024-09-05 11:59,https://www.toutiao.com/ugc/share/wap/thread/1809327089711251,王者荣耀单排很难打，应该怎么办？第一就是要么组队，要么就提高技术，前者靠人后者靠己，先不说机制的问题啊，星耀到王者连胜的大有人在，只能说人家确实厉害。第二就是英雄池尽量宽一点，尽量每个位置都可以补，在路人局，总会遇到要补位的情况，这个时候拿得出手比你完全不会上升几率要大一些。第三就是精通一个位置，最好能carry的那种，路人局只有自己靠得住，尽量自己carry。第四就是心态一定要好，不要用太依赖队友的辅助英雄，顺风一定要稳，逆风呢，好好发育就行了，别太指望队友，也不要总想着去吃队友的线。,王者,0,2,0,1252,王者皮克年,1725508740,1725516258
1809321305027850,#每日一悟#王者荣耀是实在活动了吗？就这雌雄一体的双生玩意，原皮后又弄个绿皮，现在又搞个黄皮出来，跟这个赛季丑陋的战令放一起，还真是绝配。策划真的是越来越懒了，还是说江郎才尽了，感觉这游戏越来越没感觉，尤其那什么王者保护卡，感觉王者变成大白菜，各种王者头衔比比皆是，再也不是以前那种简单的一看就知道什么级别的大佬。,新闻,2024-09-05 10:27,https://m.toutiao.com/w/1809321305027850,#每日一悟#王者荣耀是实在活动了吗？就这雌雄一体的双生玩意，原皮后又弄个绿皮，现在又搞个黄皮出来，跟这个赛季丑陋的战令放一起，还真是绝配。策划真的是越来越懒了，还是说江郎才尽了，感觉这游戏越来越没感觉，尤其那什么王者保护卡，感觉王者变成大白菜，各种王者头衔比比皆是，再也不是以前那种简单的一看就知道什么级别的大佬。,王者,0,0,0,222,池鱼思故渊,1725503220,1725516258
1809314366179395,以下是今日（2024年9月5日）的一些社会娱乐热点：\\n \\n- 《王者荣耀》全新版本上线：今日，《王者荣耀》全新版本“上场，共赴荣耀！”正式上线，版本更新后 9 月 5 日 - 9 月 11 日，神钩对决玩法限时回归。该玩法中玩家 3V3 组成两对阵营，在分割开的两块地图上作战，需用钩子把对面敌人拉过来完成击杀，对战双方等级均为固定 10 级且无法购买装备，拿下 30 个人头即可获胜，钩子有多种类型。\\n- 辛巴怒怼小杨哥：“快手一哥”辛巴和“抖音一哥”疯狂小杨哥起冲突。8 月 31 日，辛巴在带货某品牌蟹卡时，称因自己卖得便宜被疯狂小杨哥举报，导致已售空的大闸蟹无法补货，于是狂骂小杨哥，不仅放言小杨哥没资格跟自己比，吐槽三只羊模仿辛选商业模式，还指责其质检、售后、赔偿、担责态度都没有，只剩炒作。9 月 2 日,新闻,2024-09-05 08:37,https://www.toutiao.com/ugc/share/wap/thread/1809314366179395,以下是今日（2024年9月5日）的一些社会娱乐热点：\\n \\n- 《王者荣耀》全新版本上线：今日，《王者荣耀》全新版本“上场，共赴荣耀！”正式上线，版本更新后 9 月 5 日 - 9 月 11 日，神钩对决玩法限时回归。该玩法中玩家 3V3 组成两对阵营，在分割开的两块地图上作战，需用钩子把对面敌人拉过来完成击杀，对战双方等级均为固定 10 级且无法购买装备，拿下 30 个人头即可获胜，钩子有多种类型。\\n- 辛巴怒怼小杨哥：“快手一哥”辛巴和“抖音一哥”疯狂小杨哥起冲突。8 月 31 日，辛巴在带货某品牌蟹卡时，称因自己卖得便宜被疯狂小杨哥举报，导致已售空的大闸蟹无法补货，于是狂骂小杨哥，不仅放言小杨哥没资格跟自己比，吐槽三只羊模仿辛选商业模式，还指责其质检、售后、赔偿、担责态度都没有，只剩炒作。9 月 2 日,王者,0,1,1,277,真诚高山SGOBzCf,1725496620,1725516258
1809265241434250,来咯！来咯！~王者荣耀星之破晓，英雄强度排名来咯？当前排名具\\n\\n体如下：李白\\u003e孙悟空\\u003e云缨\\u003e花木兰\\u003e铠\\u003e孙尚香\\u003e后羿\\u003e上官婉儿。\\n上述排名，主要根据英雄上限、反打能力、操作难度、生存能力来排列的，你对上述排名有什么看法吗？留言评论哦~！,新闻,2024-09-04 19:36,https://m.toutiao.com/w/1809265241434250,来咯！来咯！~王者荣耀星之破晓，英雄强度排名来咯？当前排名具\\n\\n体如下：李白\\u003e孙悟空\\u003e云缨\\u003e花木兰\\u003e铠\\u003e孙尚香\\u003e后羿\\u003e上官婉儿。\\n上述排名，主要根据英雄上限、反打能力、操作难度、生存能力来排列的，你对上述排名有什么看法吗？留言评论哦~！,王者,0,0,0,3802,马大胡子解说游戏,1725449760,1725516258
1809331320737859,王者荣耀可以赚钱，还可以赚大钱！这是我一位朋友告诉我的。\\n我感到诧异。\\n\\n我一个朋友是玩王者荣耀的，今天，他给我说了下面一段话，我是每个字都认识，但一句话也看不懂。\\n他说，看懂的人，可以赚大钱。\\n下面是他写的标题以及聊的文字，发的图片。\\n来看看，你懂了么？\\n\\n王者荣耀如何催生出了代练行业以及代练是如何工作\\n\\n第一个是排位是王者为1星，25为无双王者，50为荣耀王者，100为传奇王者。\\n王者之前还有很多段位但是很简单很低就不多赘述。\\n然后第二张为巅峰赛分数。巅峰起步分数为1200。下一个阶段1500。再下一个1800。以此类推。\\n中间也有1300 ，1400等等。\\n巅峰赛要上了王者才能开启。\\n最后一张图是一个英雄的战力分。\\n是由图中各种分数计算。\\n这个图中又铜标，银标，金标，小国标，大国标。铜标到小国标没一周会发放一个。\\n大国标每个月发放一个。\\n怎么获得？\\n就是看战力分数。\\n打个比方，\\n四川省前100名，\\n才能获得那个金标。\\n但是名次根据战力分数而定。\\n假设我战力为12000排名第20，别人比我高就会比我名次高，比我低就名次比我低。\\n因为有这些荣誉，\\n就催生出了代练这个行业。\\n\\n这个就是大概价目表\\n巅峰赛我就懒得找了\\n然后里面排位是最简单的\\n对于高手来讲排位相当于送钱\\n然后图里面26-50星\\n基本上对于高手来说10分钟内一颗\\n也就是说这个东西不需要什么成本\\n但是利润却很大\\n不过很累。\\n前两天有一个类似中间人的角色\\n跑路了\\n跑了几十万\\n而且这个人还是一个小角色。,新闻,2024-09-05 13:06,https://m.toutiao.com/w/1809331320737859,王者荣耀可以赚钱，还可以赚大钱！这是我一位朋友告诉我的。\\n我感到诧异。\\n\\n我一个朋友是玩王者荣耀的，今天，他给我说了下面一段话，我是每个字都认识，但一句话也看不懂。\\n他说，看懂的人，可以赚大钱。\\n下面是他写的标题以及聊的文字，发的图片。\\n来看看，你懂了么？\\n\\n王者荣耀如何催生出了代练行业以及代练是如何工作\\n\\n第一个是排位是王者为1星，25为无双王者，50为荣耀王者，100为传奇王者。\\n王者之前还有很多段位但是很简单很低就不多赘述。\\n然后第二张为巅峰赛分数。巅峰起步分数为1200。下一个阶段1500。再下一个1800。以此类推。\\n中间也有1300 ，1400等等。\\n巅峰赛要上了王者才能开启。\\n最后一张图是一个英雄的战力分。\\n是由图中各种分数计算。\\n这个图中又铜标，银标，金标，小国标，大国标。铜标到小国标没一周会发放一个。\\n大国标每个月发放一个。\\n怎么获得？\\n就是看战力分数。\\n打个比方，\\n四川省前100名，\\n才能获得那个金标。\\n但是名次根据战力分数而定。\\n假设我战力为12000排名第20，别人比我高就会比我名次高，比我低就名次比我低。\\n因为有这些荣誉，\\n就催生出了代练这个行业。\\n\\n这个就是大概价目表\\n巅峰赛我就懒得找了\\n然后里面排位是最简单的\\n对于高手来讲排位相当于送钱\\n然后图里面26-50星\\n基本上对于高手来说10分钟内一颗\\n也就是说这个东西不需要什么成本\\n但是利润却很大\\n不过很累。\\n前两天有一个类似中间人的角色\\n跑路了\\n跑了几十万\\n而且这个人还是一个小角色。,王者,0,0,0,170,云游天下2024,1725512760,1725516258
1800039843059722,《王者荣耀》的皮肤确实是颜值担当，不得不说，现在的玩法都是新皮肤的主场。要么花费488点券，要么用6元钱就能拿下史诗皮肤，比起之前的288点券，现在的价格是188点券。有人就在猜测，下次会不会再来一个88点券的皮肤呢？不过，话说回来，伽罗和黄忠的皮肤确实是物超所值。#王者荣耀抽奖# #游戏皮肤# #是否返场#,新闻,2024-09-05 08:39,https://www.toutiao.com/ugc/share/wap/thread/1800039843059722,《王者荣耀》的皮肤确实是颜值担当，不得不说，现在的玩法都是新皮肤的主场。要么花费488点券，要么用6元钱就能拿下史诗皮肤，比起之前的288点券，现在的价格是188点券。有人就在猜测，下次会不会再来一个88点券的皮肤呢？不过，话说回来，伽罗和黄忠的皮肤确实是物超所值。#王者荣耀抽奖# #游戏皮肤# #是否返场#,王者,0,0,0,458,8l,1725496740,1725516258
1809332582043652,王者安排人机队友\\n这局的我方队友法师，打完后查看主页，竟然没有王昭君这个英雄，王者35星排位。这个鸡毛游戏真的没救了,新闻,2024-09-05 13:26,https://www.toutiao.com/ugc/share/wap/thread/1809332582043652,王者安排人机队友\\n这局的我方队友法师，打完后查看主页，竟然没有王昭君这个英雄，王者35星排位。这个鸡毛游戏真的没救了,王者,0,0,0,15,胖子70645276,1725513960,1725516258
1809321131737098, 达摩排位现状：从冷门到T0的逆袭之路\\n\\n内容：\\n\\n🔥🔥🔥 王者荣耀排位赛新宠儿来啦！达摩，这位曾经的冷门战士，如今已成全榜胜率第一！\\n\\n💪 重做后的达摩，技能更猛，生存更强！双抗加成+高额回复，让他成为团战中的不死小强！\\n\\n🔥 无论是巅峰赛还是顶端排位，达摩的胜率都稳居榜首！你还在等什么？快来试试这位新晋T0吧！\\n\\n🎉 玩家们的热情高涨，达摩的出场率和ban率不断攀升！快来感受他的强大魅力，一起上分吧！\\n\\n#达摩强势崛起 #王者荣耀排位赛 #新版本上分英雄,新闻,2024-09-05 10:24,https://www.toutiao.com/ugc/share/wap/thread/1809321131737098, 达摩排位现状：从冷门到T0的逆袭之路\\n\\n内容：\\n\\n🔥🔥🔥 王者荣耀排位赛新宠儿来啦！达摩，这位曾经的冷门战士，如今已成全榜胜率第一！\\n\\n💪 重做后的达摩，技能更猛，生存更强！双抗加成+高额回复，让他成为团战中的不死小强！\\n\\n🔥 无论是巅峰赛还是顶端排位，达摩的胜率都稳居榜首！你还在等什么？快来试试这位新晋T0吧！\\n\\n🎉 玩家们的热情高涨，达摩的出场率和ban率不断攀升！快来感受他的强大魅力，一起上分吧！\\n\\n#达摩强势崛起 #王者荣耀排位赛 #新版本上分英雄,王者,0,0,0,162,罪罪,1725503040,1725516258
1809302867306570,#你赞同关闭王者荣耀游戏吗?#赞同 机制的问题非常严重 很多机器人  到处都是充值活动 建议关闭,新闻,2024-09-05 05:34,https://m.toutiao.com/w/1809302867306570,#你赞同关闭王者荣耀游戏吗?#赞同 机制的问题非常严重 很多机器人  到处都是充值活动 建议关闭,王者,0,0,0,210,风扬万里,1725485640,1725516258
